# Формат: ID|Имя|Описание|Вес|Антагонисты
# Антагонисты: id1,id2,id3
1|Пищевой|Поиск и потребление пищи. Блокируется при стрессе.|70|5,6,7,9
2|Исследование|Активное изучение среды. Снижается при усталости.|60|6,7
3|Затаивание|Маскировка и неподвижность при угрозе.|50|1,2,9,10
4|Бегство|Резкое удаление от опасности. Тратит энергию.|40|3,6,10
5|Ступор|Полная неподвижность при сильном стрессе или низком кислороде.|30|1,2,3,4,9,10
6|Лень|Экономия энергии в безопасной среде.|20|1,2,4,9
7|Ремонт|Восстановление повреждений в укрытии.|30|1,2,4,6
8|Игра|Спонтанная активность без цели (тренировка).|10|5,6
9|Агрессия|Атака при невозможности бегства.|40|3,4,7
10|Копирование|Попытка повторить наблюдаемое действие (например, использование камня как инструмента).|50|5,6,7,9
11|Закрепление|Формирование нового навыка после успешной имитации.|40|6,7
12|Эксперимент|Тестирование альтернативных решений (если имитация не сработала).|30|5,7
13|Дыхание|Регуляция дыхания, связанная с уровнем кислорода.|60|5,6,9
14|Терморегуляция|Поддержка оптимальной температуры тела.|55|6,9
15|Сосудистая реакция|Регуляция артериального давления и кровотока.|55|7,9
