# Формат: ID|Имя|Описание|Воздействие|Антагонисты|ProbeKey

# Воздействие: paramId1:effect1;paramId2:effect2

# Антагонисты: id1,id2,id3

# ProbeKey: ключ из metric-probes.json; пусто — воздействие оператора с пульта

1|Наказать|Отрицательное максимальное подкрепление от Оператора|3:5;6:2;7:5|2,4,6,8,10,12|

2|Поощрить|Положительное максимальное подкрепление от Оператора|3:-5;6:-2;7:-5|1,3,5,7,9,11|

3|Напугать|Вызвать у агента чувство страха или тревоги|1:-1;3:2;6:1;7:3|2,4,6,8,10,12|

4|Успокоить|Снизить уровень стресса или волнения у агента|3:-2;4:-1;6:-1;7:-2|1,3,5,7,9,11|

5|Огорчить|Вызвать легкую грусть или разочарование|3:3;6:1;7:2|2,4,6,8,10,12|

6|Обрадовать|Вызвать положительные эмоции, поднять настроение|3:-2;6:-1;7:-2|1,3,5,7,9,11|

7|Опечалить|Вызвать более сильную грусть, чем огорчить|1:-1;3:2;6:1;7:1|2,4,6,8,10,12|

8|Развеселить|Вызвать сильную положительную эмоцию, веселье|3:-2;4:-1;5:-1;6:-1;7:-3|1,3,5,7,9,11|

9|Истощить|Снизить энергетические запасы или выносливость агента|1:-5;2:1;3:3;7:5|2,4,6,8,10,12|

10|Накормить|Удовлетворить потребность в пище, восполнить энергию|1:5;2:-1;3:-3;7:-3|1,3,5,7,9,11|

11|Покалечить|Нанести физический вред, временно снизить функциональность|1:-1;2:5;3:5;6:2;7:10|2,4,6,8,10,12|

12|Вылечить|Устранить последствия травм, восстановить здоровье|1:1;2:-5;3:-3;4:-1;5:-1;7:-5|1,3,5,7,9,11|

50|Среда: материал|Деталь: 100 если у активной конфигурации задан материал (имя не пустое), иначе 50; при ошибке чтения XCAD — проверка через COM. Сборка: 50…100 по доле деталей-солидов в дереве (без подавленных и envelope) с назначенным материалом; воздействие по справочнику без дополнительного масштаба по числу деталей.|1:-1;2:1;3:2;6:1;7:2;9:-3||Velum.Solid.Material

51|Среда: эскиз — пересечения|Один критерий SW по данным CheckSketchFeatureStatus: нет кодов EntXEnt, EntXSelf, EntUnspecBad, ThreeEnts. Среднее 50…100 по эскизам с геометрией (деталь или уникальные детали в сборке).|1:-1;3:1||Velum.Solid.Sketch.NoBadIntersections

52|Среда: эскиз — разрозненные контуры|Один критерий: нет кода DisjCturs в CheckSketchFeatureStatus. Среднее 50…100 по эскизам.|1:-1;3:1;4:2;5:1;7:1||Velum.Solid.Sketch.NoDisjointContours

53|Среда: эскиз — профиль контура|Один критерий: профиль контура без OpenWantClosed, WrongOpen, MixedContours и др.; при недоступности CheckSketchFeatureStatus — замкнутость контуров или регионы. Среднее 50…100 по эскизам.|2:1;3:2;5:1||Velum.Solid.Sketch.ContourProfile

54|Среда: эскиз — полная фиксация|Один критерий: Sketch.GetConstrainedStatus = полностью зафиксирован. Среднее 50…100 по эскизам.|3:1;4:1;6:2||Velum.Solid.Sketch.FullyDefined

55|Среда: эскиз — без нулевой длины|Один критерий: нет кода ZeroLengthEnt в CheckSketchFeatureStatus. Среднее 50…100 по эскизам.|2:1;3:1;6:1||Velum.Solid.Sketch.NoZeroLength

56|Среда: сборка — критические ошибки|Только активная сборка: из Extension.GetWhatsWrong учитываются только строки без признака предупреждения; штраф 50…100 по серьёзности кодов swFeatureError.|1:-2;3:3;6:2;7:2||Velum.Solid.Assembly.WhatsWrong.Critical

57|Среда: сборка — предупреждения|Только активная сборка: из GetWhatsWrong учитываются только строки с признаком предупреждения; отдельная ось 50…100 от критических записей.|1:-1;3:2;6:1;7:2||Velum.Solid.Assembly.WhatsWrong.Warnings

58|Среда: разрешение в дереве|Сборка: по компонентам дерева (без подавленных и envelope) читается GetResolveStatus или ResolveStatus; статусу swResolveOk соответствует 1, остальным — меньше, усреднение, шкала 50…100.|1:-1;3:3;6:2;7:3||Velum.Solid.Assembly.Resolve

59|Среда: несохранённый документ|Part/Assembly без пути на диске — требуется политика КБ; после Save метрика 100.|8:-3||Velum.Solid.Document.UnsavedNew

