# Формат: ID|Weight|Type|PulsCount
# Weight: вес (1-10), Type: тип темы (ThemeTypeStr), PulsCount: время актуализации
1|2|1|213589
2|2|1|213601
3|2|1|213661
4|2|1|213662
5|2|1|213670
6|2|1|213671
7|2|1|213679
8|2|1|213680
9|2|1|213688
10|2|1|213692
11|2|1|213703
12|2|1|213714
13|2|17|213769
14|2|17|213771
15|2|17|213773
16|2|1|213773
17|2|17|213775
18|2|17|213777
19|2|1|213777
20|2|17|213779
21|2|17|213788
22|2|17|213790
23|2|1|213790
24|2|17|213799
25|2|17|213801
26|2|17|213803
27|2|17|213805
28|2|1|213805
29|2|17|213814
30|2|17|213816
