# Строки сценария оператора
# SCENARIO_LINES_FORMAT|1
# SCENARIO_META|Суммация (оба рефлекса при близкой силе) условных рефлексов.|Тестируется формирование первичных условных рефлексов, суммация (оба рефлекса при близкой силе) на 1 стадии развития агента.\n\nОбраз восприятия агента включает вербальные (фразы с пульта), тактильные (воздействия с пульта) и зрительные (цвет фона сцены) компоненты; составной (компаундный) стимул может объединять любые из этих модальностей.\n\nВАЖНО: стимулы компаунда должны принадлежать РАЗНЫМ модальностям (вербальный + зрительный). Два стимула одной модальности (например две фразы) не распознаются системой как компаунд, потому что CompoundModalityCount считает число задействованных каналов (фразы, воздействия, цвет), а не число стимулов.\n\n═══════════════════════════════════════════════════════════════\nСуммация (оба рефлекса при близкой силе)\n═══════════════════════════════════════════════════════════════\n\nМеханизм:\nЕсли два стимула разных модальностей предъявлены вместе, и каждый имеет условный рефлекс к разным безусловным ответам с близкой крепостью, активируются оба ответа одновременно (смешанный ответ).\n\nФормула:\n\n  S₁ + S₂ → R₁ и R₂ (оба ответа активируются)\n\n  θ = min(C₁, C₂) / max(C₁, C₂)\n\nОба ответа активируются при θ ≥ θ_comp (по умолчанию 0.7), то есть когда крепости обоих рефлексов достаточно близки. Каждый рефлекс при этом должен превышать порог активации: C_i ≥ γ.\n\nЭкспериментальная база:\n— Weiss S.J. (1972). Stimulus compounding in free-operant and classical conditioning — компаунд вызывает смешанные или суммарные реакции. PB, 78(3), 189–208.\n— Rescorla R.A. (1997). Summation and overexpectation with qualitatively different outcomes. ALB, 25(1), 50–62.\n\nПротокол тестирования:\n\nШаг 1. Сформировать CR1: «фраза Б1» (вербальный канал) → безусловный [В1] (например, [Развеселить]). Повторить 4–5 раз. Довести крепость до C₁ ≈ 0.8. Цвет фона при обучении — Белый.\nШаг 2. Сформировать CR2: «цвет Красный» (зрительный канал, без фразы) → безусловный [В2] (например, [Порадовать]). Повторить 4–5 раз. Довести крепость до C₂ ≈ 0.8.\nШаг 3. Предъявить «Б1» + Красный фон одновременно (вербальный + зрительный каналы). Отношение крепостей: θ = 0.8/0.8 = 1.0 ≥ θ_comp = 0.7. Ожидается смешанный ответ: обе реакции ([Смеется] и [Радуется]).\n\nКритерий успеха: оба безусловных ответа активируются одновременно при близких крепостях условных рефлексов (θ ≥ θ_comp).\n\nВАЖНО: действия б/у рефлексов, используемых в протоколе не должны быть антагонистами. В противном случае активируется одно из них.\n\n═══════════════════════════════════════════════════════════════\nПараметры модели\n═══════════════════════════════════════════════════════════════\n\n  α       = 0.2   — коэффициент обучения\n  β       = 1.0   — асимптотический максимум крепости\n  η       = 0.98  — коэффициент затухания\n  γ       = 0.6   — порог активации\n  τ       = 5     — временное окно корреляции (в пульсах)\n  C_min   = 0.1   — минимальная крепость связи\n  K       = 1.5   — коэффициент понижения для вторичных рефлексов\n  θ_comp  = 0.8   — порог отношения крепостей для суммации / конкурентного подавления|2026-03-30|1|1|0|0|1|1|20
# Step|Pulse|Kind(P|W)|ToneId|MoodId|ActionIds|Phrase|ResetWait|VisualColorId
# Kind=W — только клик по плашке ожидания; P — воздействия с пульта. Пульс — по шагам и режиму приращения из метаданных (см. настройки проекта). VisualColorId — код зрительного канала (0…8), см. AgentVisualColor.
1|1|P|0|0||Ах|0|0
2|2|P|0|0|8||0|0
3|10|P|0|0||Ах|0|0
4|11|P|0|0|8||0|0
5|19|P|0|0||Ах|0|0
6|20|P|0|0|8||0|0
7|28|P|0|0||Ах|0|0
8|29|P|0|0|8||0|0
9|37|P|0|0||Ах|0|0
10|38|P|0|0|8||0|0
11|46|P|0|0||Ах|0|0
12|47|P|0|0|8||0|0
13|55|P|0|0|||0|2
14|56|P|0|0|6||0|0
15|64|P|0|0|||0|2
16|65|P|0|0|6||0|0
17|73|P|0|0|||0|2
18|74|P|0|0|6||0|0
19|82|P|0|0|||0|2
20|83|P|0|0|6||0|0
21|91|P|0|0|||0|2
22|92|P|0|0|6||0|0
23|100|P|0|0|||0|2
24|101|P|0|0|6||0|0
25|109|P|0|0||Ах|0|2
# SCENARIO_LOG_EXPECTATIONS|1
# COL_SKIP|0|0|0|0|0|0|0|0|0|0|0|0|0
# Step|Pulse|State|Style|Theme|Trigger|OrUm|Opasno|Actualno|GenRef|CondRef|Aut|RefChain|AutChain|Cycle
1|1|0|7,16|-||-|-|-|-|-|-|-|-|-
2|2|1|7,17|-||-|-|-|911|-|-|-|-|-
3|10|0|7,16|-||-|-|-|-|-|-|-|-|-
4|11|1|7,17|-||-|-|-|911|-|-|-|-|-
5|19|0|7,16|-||-|-|-|-|-|-|-|-|-
6|20|1|7,17|-||-|-|-|911|-|-|-|-|-
7|28|0|7,16|-||-|-|-|-|-|-|-|-|-
8|29|1|7,17|-||-|-|-|911|-|-|-|-|-
9|37|0|7,16|-||-|-|-|-|-|-|-|-|-
10|38|1|7,17|-||-|-|-|911|-|-|-|-|-
11|46|0|7,16|-||-|-|-|-|1|-|-|-|-
12|47|1|7,17|-||-|-|-|911|-|-|-|-|-
13|55|0|7,16|-||-|-|-|-|-|-|-|-|-
14|56|1|7,17|-||-|-|-|909|-|-|-|-|-
15|64|0|7,16|-||-|-|-|-|-|-|-|-|-
16|65|1|7,17|-||-|-|-|909|-|-|-|-|-
17|73|0|7,16|-||-|-|-|-|-|-|-|-|-
18|74|1|7,17|-||-|-|-|909|-|-|-|-|-
19|82|0|7,16|-||-|-|-|-|-|-|-|-|-
20|83|1|7,17|-||-|-|-|909|-|-|-|-|-
21|91|0|7,16|-||-|-|-|-|-|-|-|-|-
22|92|1|7,17|-||-|-|-|909|-|-|-|-|-
23|100|0|7,16|-||-|-|-|-|2|-|-|-|-
24|101|1|7,17|-||-|-|-|909|-|-|-|-|-
25|109|0|7,16|-||-|-|-|-|1|-|-|-|-
