# Строки сценария оператора
# SCENARIO_LINES_FORMAT|1
# SCENARIO_META|Создание эхо-автоматизмов в состоянии Норма и Хорошо, при Плохо только клонирование рефлексов|Тестируется на 2 стадии развития агента единственный вербальный стимул «привет»: в Норме и Хорошо формируются эхо-автоматизмы (одно слово — без цепочки), в Плохо на тот же стимул вместо эха создаётся автоматизм с действием по умолчанию из настроек («Ступор»). Отдельно проверяется механизм оценки ответа оператором с пульта: свойство успешности автоматизма (полезность) растёт после положительного подкрепления («Поощрить») и снижается после отрицательной оценки («Наказать») — в обоих спокойных состояниях, Норма и Хорошо. В журнале сценария отслеживаются, в частности, два разных эхо-автоматизма на одну и ту же фразу (разные номера записей при разных пусковых условиях) и динамика успешности у автоматизмов 1 и 3.\n\n═══════════════════════════════════════════════════════════════\nI. Теоретические основания\n═══════════════════════════════════════════════════════════════\n\nЭхо-автоматизм на вербальный стимул:\nВоспроизведение предъявленной фразы в качестве ответного действия. Для однословного стимула (в сценарии — «привет») строится эхо-автоматизм без цепочки: триггер и действие совпадают по вербальной части (схема S → S). Многословные фразы на 2 стадии разбирались бы на первое слово как действие автоматизма и до двух звеньев цепочки по остальным токенам; здесь этот случай не используется.\n\nДва эхо-автоматизма на одно слово «привет» в Норме и в Хорошо:\nПусковые условия автоматизма включают не только узел фразы в дереве активации, но и сочетание суммарного состояния гомеостаза со стилями реагирования. Одна и та же строка «привет» в Норме и в Хорошо порождает две разные записи автоматизмов (в протоколе ожиданий — разные номера): ответное действие внешне то же (повтор «привет»), но контекст активации разный, поэтому это два независимых объекта обучения. При смене состояния срабатывает тот автоматизм, чьи условия совпали с текущим контекстом; создаётся впечатление одного «привычного» ответа, фактически же ветка учёта в системе раздвоена.\n\nОценка успешности (полезность) автоматизма:\nПосле ответа агента оператор может передать не новую фразу, а действие с пульта, зарезервированное как положительная или отрицательная оценка последнего сработавшего автоматизма. На 2 стадии у нового эхо-автоматизма успешность по умолчанию задаётся равной 3. «Поощрить» увеличивает её (в сценарии — до 4), «Наказать» возвращает к исходному уровню (3). Один и тот же механизм проверяется для эхо-автоматизма в Норме (например, запись 1) и для эхо-автоматизма в Хорошо (например, запись 3).\n\nПочему эхо возможно только в Норме и Хорошо, а в Плохо — нет:\nСистема различает спокойную ситуацию и ситуацию, в которой жизненно важные параметры агента оказались в зоне ухудшения. Во втором случае включается режим повышенной актуальности внутренней задачи: приоритет отдаётся не подражанию слову оператора, а рефлекторно заданной или подставляемой по умолчанию реакции. Если в момент стимула нет подходящего действия из рефлекторного набора, подставляется действие по умолчанию из настроек агента — в данном сценарии «Ступор»; оно оформляется как новый автоматизм на ветке стимула (клонирование опорной программы), а не как эхо-копия фразы. В Норме и Хорошо указанная срочность по жизненно важным параметрам не возникает, поэтому для «привет» допускается формирование эхо-автоматизма.\n\n═══════════════════════════════════════════════════════════════\nII. Механизм эхо для однословного стимула «привет»\n═══════════════════════════════════════════════════════════════\n\nСтимул состоит из одного токена после сегментации по пробелам. Цепочка не создаётся. Создаётся автоматизм: действие «привет» совпадает с триггером по фразе; дальнейшее выполнение соответствует ответу-повтору.\n\n═══════════════════════════════════════════════════════════════\nIII. Поведение в состоянии Плохо (тот же стимул «привет»)\n═══════════════════════════════════════════════════════════════\n\nПри суммарном состоянии Плохо и ухудшении по жизненно важным параметрам:\n\n1. Режим повышенной актуальности внутренней задачи не даёт зафиксировать ответ как эхо-копию слова оператора.\n2. Создаётся автоматизм с действием «Ступор» из настроек агента, привязанный к узлу стимула.\n3. Это не эхо-автоматизм: структура ответа не совпадает с правилом раздела II.\n\nТаким образом, сценарий показывает откладывание подражания речи, когда модель трактует ситуацию как требующую прежде всего реакции на дефицит по ключевым параметрам.\n\n═══════════════════════════════════════════════════════════════\nIV. Механизм изменения успешности по оценке с пульта\n═══════════════════════════════════════════════════════════════\n\n1. Агент выполняет автоматизм (в т.ч. эхо на «привет») в контексте Нормы или Хорошо.\n2. Оператор посылает действие пульта «Поощрить» — успешность сработавшего автоматизма увеличивается (в сценарии с 3 до 4).\n3. Оператор посылает действие пульта «Наказать» — успешность снижается обратно (в сценарии с 4 до 3).\n\nДля автоматизма 1 (контекст Норма) и автоматизма 3 (контекст Хорошо) в журнале последовательно проверяется: исходное значение 3, рост до 4 после «Поощрить», возврат к 3 после «Наказать». Это подтверждает корректную работу канала оценки в обоих спокойных состояниях, при том что сами автоматизмы различны по пусковым условиям.\n\n═══════════════════════════════════════════════════════════════\nV. Протокол тестирования\n═══════════════════════════════════════════════════════════════\n\nБлок A — эхо в Норме и оценка:\n\nШаг 1. Вербальный стимул «привет» в состоянии Норма. Создаётся эхо-автоматизм (ожидаемая запись 1, успешность 3).\nШаг 2. Действие пульта «Поощрить» (положительная оценка ответа агента).\n\nБлок B — эхо в Хорошо (другой автоматизм) и положительное подкрепление:\n\nШаг 3. Вербальный стимул «привет» в состоянии Хорошо. Создаётся второй эхо-автоматизм на ту же фразу при других пусковых условиях (ожидаемая запись 3, успешность 3).\nШаг 4. «Поощрить».\nШаг 5. Снова «привет» в Хорошо. Запись 3, успешность 4 — зафиксировано усиление после шага 4.\n\nБлок C — Норма и рост успешности у первого эхо:\n\nШаг 6. «привет» в Норме. Запись 1, успешность 4 — зафиксировано, что механизм подкрепления учитывает и автоматизм в Норме.\n\nБлок D — Плохо: не эхо, а «Ступор»:\n\nШаг 7. «Наказать» (или иное воздействие по сценарию), перевод в Плохо с актуализацией внутренней задачи.\nШаг 8. «привет» в Плохо. Ожидается автоматизм с действием «Ступор» из настроек (не эхо), признак повышенной актуальности ситуации в журнале.\n\nБлок E — возврат в спокойные состояния и контроль оценки в Хорошо:\n\nШаг 9. «привет» в Норме — снова контекст первого эхо (запись 1).\nШаг 10. «Наказать» (по сценарию).\nШаг 11. «привет» в Хорошо — запись 3, успешность 4 (после предыдущих подкреплений).\nШаг 12. Действие пульта в состоянии Плохо (по сценарию) — контроль ветки без эхо в критическом контексте.\nШаг 13. «Наказать».\nШаг 14. «привет» в Хорошо — запись 3, успешность 3: после «Наказать» успешность возвращена к исходной для 2 стадии, механизм отрицательной оценки в Хорошо подтверждён.\n\nКритерии успеха:\n- В Норме и Хорошо на «привет» создаются два разных эхо-автоматизма (разные номера в журнале при одном и том же слове-ответе).\n- Успешность автоматизмов 1 и 3 в спокойных состояниях меняется 3 → 4 после «Поощрить» и 4 → 3 после «Наказать».\n- В Плохо на «привет» создаётся автоматизм с «Ступор» из настроек, эхо не формируется.\n\n═══════════════════════════════════════════════════════════════\nНаучные основания\n═══════════════════════════════════════════════════════════════\n\nПереход от рефлексов к навыкам в онтогенезе:\n— Piaget J. (1952). The Origins of Intelligence in Children. International Universities Press. [Стадия сенсомоторного интеллекта: рефлекторные схемы → привычки]\n— Bernstein N.A. (1967). The Co-ordination and Regulation of Movements. Pergamon Press. [Уровни построения движений]\n\nЭхолалия и вокальная имитация:\n— Fay W.H. (1969). On the basis of autistic echolalia. Journal of Communication Disorders, 2(1), 38–47.\n— Carr E.G., Schreibman L., Lovaas O.I. (1975). Control of echolalic speech in psychotic children. Journal of Abnormal Child Psychology, 3(4), 331–351.\n— Doupe A.J., Kuhl P.K. (1999). Birdsong and human speech: Common themes and mechanisms. Annual Review of Neuroscience, 22, 567–631. [Вокальная имитация как основа формирования речевых паттернов]\n\nКлонирование поведенческих программ и моторные навыки:\n— Wolpert D.M., Ghahramani Z., Flanagan J.R. (2001). Perspectives and problems in motor learning. Trends in Cognitive Sciences, 5(11), 487–494.\n— Hikosaka O. et al. (1999). Parallel neural networks for learning sequential procedures. Trends in Neurosciences, 22(10), 464–471. [Переход от декларативных к процедурным моторным последовательностям]\n\nОперантное подкрепление и корректирующая обратная связь:\n— Thorndike E.L. (1911). Animal Intelligence: Experimental Studies. Macmillan.\n— Skinner B.F. (1953). Science and Human Behavior. Macmillan.\n\nПриоритет мотивации и стресс-реакции над исследовательским поведением:\n— McEwen B.S., Wingfield J.C. (2003). The concept of allostasis in biology and biomedicine. Hormones and Behavior, 43(1), 2–15.\n— Lupien S.J., Maheu F., Tu M., Fiocco A., Schramek T.E. (2007). The effects of stress and stress hormones on human cognition: Implications for the field of brain imaging. Neuroscience, 153(1), 47–63.|2026-04-11|2|1|0|1|1|1|20|1|1
# Step|Pulse|Kind(P|W)|ToneId|MoodId|ActionIds|Phrase|ResetWait|VisualColorId
# Kind=W — только клик по плашке ожидания; P — воздействия с пульта. Пульс — по шагам и режиму приращения из метаданных (см. настройки проекта). VisualColorId — код зрительного канала (0…8), см. AgentVisualColor.
1|1|P|0|4||привет|0|0
2|2|P|0|0|2||0|0
3|3|P|0|4||привет|0|0
4|4|P|0|0|2||0|0
5|5|P|0|4||привет|0|0
6|13|P|0|4||привет|0|0
7|14|P|0|0|5||0|0
8|15|P|0|4||привет|0|0
9|23|P|0|4||привет|0|0
10|24|P|0|0|6||0|0
11|25|P|0|4||привет|0|0
12|26|P|0|0|1||0|0
13|34|P|0|0|6||0|0
14|35|P|0|4||привет|0|0
# SCENARIO_LOG_EXPECTATIONS|1
# COL_SKIP|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
# Step|Pulse|State|Style|Theme|Trigger|OrUm|Opasno|Actualno|GenRef|CondRef|Aut|RefChain|AutChain|Cycle|Use|CycleF
1|1|0|7,16|-||ОР1|-|-|-|-|1|-|-||0|-
2|2|1|7,17|-||ОР1|-|-|-|-|2|-|-||3|-
3|3|1|7,17|-||ОР1|-|-|-|-|3|-|-||0|-
4|4|1|7,17|-||ОР1|-|-|-|-|4|-|-|-|3|-
5|5|1|7,17|-||ОР2|-|-|-|-|3|-|-|-|1|-
6|13|0|7,16|-||ОР2|-|-|-|-|1|-|-|-|1|-
7|14|-1|1,8,9|-||ОР1|-|1|-|-|5|-|-|-|3|-
8|15|-1|1,8,9|-||ОР1|-|1|-|-|6|-|-|-|3|-
9|23|0|7,16|-||ОР2|-|-|-|-|1|-|-|-|0|-
10|24|1|7,17|-||ОР1|-|-|-|-|7|-|-|-|3|-
11|25|1|7,17|-||ОР2|-|-|-|-|3|-|-|-|1|-
12|26|-1|1,8,9|-||ОР1|-|1|-|-|8|-|-|-|3|-
13|34|1|7,17|-||ОР2|-|-|-|-|7|-|-|-|3|-
14|35|1|7,17|-||ОР2|-|-|-|-|3|-|-|-|0|-
