# Формат: ID|Weight|Type|PulsCount
# Weight: вес (1-10), Type: тип темы (ThemeTypeStr), PulsCount: время актуализации
1|2|1|209452
2|2|1|209464
3|2|1|209524
4|2|1|209525
5|2|1|209533
6|2|1|209534
7|2|1|209542
8|2|1|209543
9|2|1|209551
10|2|1|209555
11|2|1|209566
12|2|1|209577
13|2|17|209632
14|2|17|209634
15|2|17|209636
16|2|1|209636
17|2|17|209638
18|2|17|209640
19|2|1|209640
20|2|17|209642
21|2|17|209651
22|2|17|209653
23|2|1|209653
24|2|17|209662
25|2|17|209664
26|2|17|209666
27|2|17|209668
28|2|1|209668
29|2|17|209677
30|2|17|209679
